product_id,week_start,units_received
1,2025-11-24,26
1,2025-12-01,23
1,2025-12-08,25
1,2025-12-15,26
1,2025-12-22,17
1,2025-12-29,23
1,2026-01-05,18
1,2026-01-12,25
2,2025-11-24,24
2,2025-12-01,57
2,2025-12-08,55
2,2025-12-15,40
2,2025-12-22,50
2,2025-12-29,59
2,2026-01-05,53
2,2026-01-12,48
3,2025-11-24,54
3,2025-12-01,85
3,2025-12-08,61
3,2025-12-15,66
3,2025-12-22,56
3,2025-12-29,73
3,2026-01-05,86
3,2026-01-12,49
4,2025-11-24,70
4,2025-12-01,68
4,2025-12-08,68
4,2025-12-15,53
4,2025-12-22,60
4,2025-12-29,87
4,2026-01-05,31
4,2026-01-12,47
5,2025-11-24,13
5,2025-12-01,6
5,2025-12-08,15
5,2025-12-15,12
5,2025-12-22,6
5,2025-12-29,10
5,2026-01-05,12
5,2026-01-12,10
6,2025-11-24,45
6,2025-12-01,49
6,2025-12-08,64
6,2025-12-15,61
6,2025-12-22,55
6,2025-12-29,40
6,2026-01-05,36
6,2026-01-12,74
7,2025-11-24,58
7,2025-12-01,88
7,2025-12-08,84
7,2025-12-15,63
7,2025-12-22,74
7,2025-12-29,98
7,2026-01-05,39
7,2026-01-12,59
8,2025-11-24,57
8,2025-12-01,59
8,2025-12-08,29
8,2025-12-15,55
8,2025-12-22,70
8,2025-12-29,59
8,2026-01-05,54
8,2026-01-12,55
9,2025-11-24,64
9,2025-12-01,104
9,2025-12-08,86
9,2025-12-15,66
9,2025-12-22,70
9,2025-12-29,36
9,2026-01-05,65
9,2026-01-12,90
10,2025-11-24,24
10,2025-12-01,40
10,2025-12-08,29
10,2025-12-15,21
10,2025-12-22,24
10,2025-12-29,32
10,2026-01-05,28
10,2026-01-12,21
11,2025-11-24,17
11,2025-12-01,6
11,2025-12-08,26
11,2025-12-15,17
11,2025-12-22,18
11,2025-12-29,8
11,2026-01-05,12
11,2026-01-12,21
12,2025-11-24,33
12,2025-12-01,30
12,2025-12-08,33
12,2025-12-15,23
12,2025-12-22,22
12,2025-12-29,28
12,2026-01-05,27
12,2026-01-12,17
13,2025-11-24,51
13,2025-12-01,61
13,2025-12-08,34
13,2025-12-15,52
13,2025-12-22,33
13,2025-12-29,70
13,2026-01-05,44
13,2026-01-12,60
14,2025-11-24,7
14,2025-12-01,10
14,2025-12-08,6
14,2025-12-15,7
14,2025-12-22,10
14,2025-12-29,7
14,2026-01-05,7
14,2026-01-12,5
15,2025-11-24,21
15,2025-12-01,13
15,2025-12-08,24
15,2025-12-15,15
15,2025-12-22,8
15,2025-12-29,16
15,2026-01-05,20
15,2026-01-12,25
16,2025-11-24,68
16,2025-12-01,46
16,2025-12-08,56
16,2025-12-15,69
16,2025-12-22,74
16,2025-12-29,46
16,2026-01-05,74
16,2026-01-12,74
17,2025-11-24,44
17,2025-12-01,27
17,2025-12-08,30
17,2025-12-15,42
17,2025-12-22,39
17,2025-12-29,41
17,2026-01-05,29
17,2026-01-12,53
18,2025-11-24,52
18,2025-12-01,44
18,2025-12-08,51
18,2025-12-15,22
18,2025-12-22,40
18,2025-12-29,38
18,2026-01-05,43
18,2026-01-12,47
19,2025-11-24,33
19,2025-12-01,22
19,2025-12-08,35
19,2025-12-15,27
19,2025-12-22,47
19,2025-12-29,52
19,2026-01-05,44
19,2026-01-12,30
20,2025-11-24,51
20,2025-12-01,28
20,2025-12-08,45
20,2025-12-15,39
20,2025-12-22,14
20,2025-12-29,41
20,2026-01-05,57
20,2026-01-12,30
21,2025-11-24,25
21,2025-12-01,45
21,2025-12-08,49
21,2025-12-15,43
21,2025-12-22,62
21,2025-12-29,68
21,2026-01-05,40
21,2026-01-12,29
22,2025-11-24,78
22,2025-12-01,66
22,2025-12-08,94
22,2025-12-15,80
22,2025-12-22,91
22,2025-12-29,83
22,2026-01-05,114
22,2026-01-12,71
23,2025-11-24,57
23,2025-12-01,56
23,2025-12-08,116
23,2025-12-15,78
23,2025-12-22,53
23,2025-12-29,59
23,2026-01-05,56
23,2026-01-12,64
24,2025-11-24,41
24,2025-12-01,39
24,2025-12-08,38
24,2025-12-15,26
24,2025-12-22,40
24,2025-12-29,28
24,2026-01-05,36
24,2026-01-12,34
25,2025-11-24,25
25,2025-12-01,38
25,2025-12-08,42
25,2025-12-15,57
25,2025-12-22,51
25,2025-12-29,37
25,2026-01-05,25
25,2026-01-12,46
26,2025-11-24,19
26,2025-12-01,21
26,2025-12-08,28
26,2025-12-15,25
26,2025-12-22,32
26,2025-12-29,25
26,2026-01-05,33
26,2026-01-12,28
27,2025-11-24,27
27,2025-12-01,27
27,2025-12-08,27
27,2025-12-15,21
27,2025-12-22,23
27,2025-12-29,23
27,2026-01-05,24
27,2026-01-12,27
28,2025-11-24,68
28,2025-12-01,73
28,2025-12-08,97
28,2025-12-15,71
28,2025-12-22,63
28,2025-12-29,86
28,2026-01-05,56
28,2026-01-12,119
29,2025-11-24,56
29,2025-12-01,69
29,2025-12-08,85
29,2025-12-15,86
29,2025-12-22,57
29,2025-12-29,68
29,2026-01-05,66
29,2026-01-12,86
30,2025-11-24,30
30,2025-12-01,57
30,2025-12-08,77
30,2025-12-15,63
30,2025-12-22,63
30,2025-12-29,70
30,2026-01-05,42
30,2026-01-12,39
31,2025-11-24,19
31,2025-12-01,24
31,2025-12-08,12
31,2025-12-15,24
31,2025-12-22,13
31,2025-12-29,24
31,2026-01-05,19
31,2026-01-12,17
32,2025-11-24,55
32,2025-12-01,75
32,2025-12-08,89
32,2025-12-15,91
32,2025-12-22,63
32,2025-12-29,85
32,2026-01-05,88
32,2026-01-12,58
33,2025-11-24,95
33,2025-12-01,81
33,2025-12-08,62
33,2025-12-15,56
33,2025-12-22,86
33,2025-12-29,69
33,2026-01-05,21
33,2026-01-12,63
34,2025-11-24,53
34,2025-12-01,97
34,2025-12-08,51
34,2025-12-15,84
34,2025-12-22,86
34,2025-12-29,31
34,2026-01-05,101
34,2026-01-12,70
35,2025-11-24,31
35,2025-12-01,30
35,2025-12-08,42
35,2025-12-15,45
35,2025-12-22,36
35,2025-12-29,29
35,2026-01-05,32
35,2026-01-12,37
36,2025-11-24,49
36,2025-12-01,53
36,2025-12-08,55
36,2025-12-15,13
36,2025-12-22,80
36,2025-12-29,60
36,2026-01-05,73
36,2026-01-12,62
37,2025-11-24,43
37,2025-12-01,45
37,2025-12-08,39
37,2025-12-15,36
37,2025-12-22,45
37,2025-12-29,36
37,2026-01-05,50
37,2026-01-12,34
38,2025-11-24,27
38,2025-12-01,36
38,2025-12-08,40
38,2025-12-15,27
38,2025-12-22,21
38,2025-12-29,43
38,2026-01-05,38
38,2026-01-12,45
39,2025-11-24,30
39,2025-12-01,38
39,2025-12-08,36
39,2025-12-15,45
39,2025-12-22,29
39,2025-12-29,19
39,2026-01-05,18
39,2026-01-12,43
40,2025-11-24,43
40,2025-12-01,52
40,2025-12-08,42
40,2025-12-15,47
40,2025-12-22,58
40,2025-12-29,45
40,2026-01-05,44
40,2026-01-12,49
41,2025-11-24,49
41,2025-12-01,38
41,2025-12-08,45
41,2025-12-15,39
41,2025-12-22,46
41,2025-12-29,39
41,2026-01-05,40
41,2026-01-12,48
42,2025-11-24,21
42,2025-12-01,21
42,2025-12-08,24
42,2025-12-15,16
42,2025-12-22,12
42,2025-12-29,29
42,2026-01-05,17
42,2026-01-12,35
43,2025-11-24,103
43,2025-12-01,63
43,2025-12-08,103
43,2025-12-15,65
43,2025-12-22,65
43,2025-12-29,92
43,2026-01-05,95
43,2026-01-12,69
44,2025-11-24,68
44,2025-12-01,67
44,2025-12-08,61
44,2025-12-15,73
44,2025-12-22,67
44,2025-12-29,59
44,2026-01-05,60
44,2026-01-12,45
45,2025-11-24,9
45,2025-12-01,14
45,2025-12-08,14
45,2025-12-15,12
45,2025-12-22,14
45,2025-12-29,13
45,2026-01-05,11
45,2026-01-12,14
46,2025-11-24,31
46,2025-12-01,35
46,2025-12-08,21
46,2025-12-15,27
46,2025-12-22,20
46,2025-12-29,32
46,2026-01-05,20
46,2026-01-12,26
47,2025-11-24,68
47,2025-12-01,64
47,2025-12-08,79
47,2025-12-15,73
47,2025-12-22,57
47,2025-12-29,46
47,2026-01-05,79
47,2026-01-12,81
48,2025-11-24,58
48,2025-12-01,87
48,2025-12-08,40
48,2025-12-15,55
48,2025-12-22,71
48,2025-12-29,32
48,2026-01-05,43
48,2026-01-12,77
49,2025-11-24,10
49,2025-12-01,9
49,2025-12-08,13
49,2025-12-15,10
49,2025-12-22,11
49,2025-12-29,7
49,2026-01-05,10
49,2026-01-12,11
50,2025-11-24,17
50,2025-12-01,12
50,2025-12-08,19
50,2025-12-15,13
