product_id,brand,category,gender,collection,silhouette,color,list_price
1,Diesel,Tops,W,Capsule,A-Line,White,255.38
2,VETEMENTS,Outerwear,M,Collab,Slip,Gray,480.82
3,Marni,Shoes,W,Pre-Fall,Slim,Pink,611.66
4,Ralph Lauren,Bottoms,M,Collab,Boxy,Green,112.41
5,Miu Miu,Tops,W,Resort,A-Line,Black,366.35
6,Tory Burch,Tops,W,Fall/Winter,Slip,Gray,571.4
7,Kiko Kostadinov,Accessories,W,Fall/Winter,Maxi,Pink,202.53
8,Maison Margiela,Bottoms,M,Capsule,Tailored,Beige,474.8
9,Jacquemus,Accessories,W,Spring/Summer,Cropped,Gray,307.29
10,Comme des Garçons,Tops,W,Pre-Fall,Platform,Red,522.03
11,Comme des Garçons,Tops,W,Spring/Summer,Sport,Black,339.45
12,Totême,Shoes,W,Collab,Platform,Black,330.48
13,JW Anderson,Accessories,W,Spring/Summer,Utility,Denim Blue,181.6
14,Off-White,Tops,W,Fall/Winter,Maxi,White,35.0
15,Givenchy,Bags,M,Fall/Winter,Minimal,White,344.35
16,Kiko Kostadinov,Dresses,W,Fall/Winter,Micro,Beige,179.1
17,Prada,Accessories,M,Spring/Summer,Sport,Beige,738.73
18,Tibi,Accessories,M,Spring/Summer,Boxy,Pink,433.92
19,Prada,Bottoms,M,Capsule,A-Line,Brown,823.51
20,Burberry,Accessories,M,Fall/Winter,Sport,White,212.54
21,Kiko Kostadinov,Tops,U,Capsule,Maxi,Black,631.38
22,Off-White,Tops,M,Capsule,Utility,Green,399.93
23,A.P.C.,Bottoms,W,Fall/Winter,Straight,Red,187.07
24,Issey Miyake,Tops,W,Spring/Summer,Oversized,Brown,409.72
25,Ganni,Bottoms,W,Resort,A-Line,Beige,82.02
26,Rick Owens,Shoes,U,Collab,Maxi,Black,410.75
27,UGG,Outerwear,M,Pre-Fall,Utility,Brown,648.89
28,Chloé,Bottoms,U,Resort,Boxy,Gray,505.18
29,Burberry,Dresses,M,Spring/Summer,Minimal,White,654.0
30,Givenchy,Tops,W,Collab,Micro,Navy,728.58
31,Alexander McQueen,Shoes,W,Collab,Platform,White,275.59
32,Versace,Tops,M,Spring/Summer,Micro,Green,498.99
33,Givenchy,Dresses,U,Capsule,Utility,Gray,499.3
34,UGG,Dresses,W,Fall/Winter,Oversized,Green,415.17
35,Tibi,Shoes,U,Pre-Fall,Wide-Leg,Metallic,35.0
36,Tibi,Accessories,M,Resort,Sport,Metallic,437.88
37,Ganni,Accessories,W,Fall/Winter,Boxy,Green,386.96
38,VETEMENTS,Dresses,W,Fall/Winter,Cropped,Navy,394.17
39,A.P.C.,Tops,U,Spring/Summer,Utility,Gray,387.09
40,UGG,Tops,U,Fall/Winter,Maxi,Black,670.68
41,Burberry,Bags,M,Resort,Wide-Leg,Black,773.53
42,Maison Margiela,Bags,U,Spring/Summer,Utility,Black,270.41
43,Fear of God,Bags,M,Capsule,Wide-Leg,Navy,650.32
44,Gucci,Bags,U,Spring/Summer,Micro,Gray,311.56
45,Fear of God,Dresses,W,Capsule,Sport,Gray,402.69
46,VETEMENTS,Accessories,W,Spring/Summer,Boxy,Denim Blue,403.67
47,Saint Laurent,Shoes,W,Capsule,Platform,White,290.02
48,Acne Studios,Shoes,W,Capsule,Boxy,Brown,525.8
49,Chloé,Bags,W,Capsule,Micro,Navy,665.02
50,Acne Studios,Shoes,W,Pre-Fall,A-Line,White,600.2
51,Gucci,Bags,U,Spring/Summer,Straight,White,299.95
52,Fendi,Accessories,M,Fall/Winter,Utility,Gray,430.59
53,Kenzo,Bottoms,U,Pre-Fall,Wide-Leg,White,394.41
54,Burberry,Shoes,W,Capsule,Tailored,White,645.04
55,Tibi,Tops,M,Spring/Summer,A-Line,Navy,551.59
56,JW Anderson,Bottoms,W,Spring/Summer,Maxi,Metallic,470.27
57,Kiko Kostadinov,Bags,U,Collab,Maxi,Navy,518.55
58,Palm Angels,Accessories,W,Fall/Winter,Minimal,Black,405.69
59,Celine,Accessories,M,Pre-Fall,Boxy,Brown,393.05
60,Fendi,Shoes,M,Pre-Fall,A-Line,Denim Blue,725.18
61,Issey Miyake,Bags,W,Spring/Summer,Sport,White,658.03
62,Givenchy,Accessories,M,Spring/Summer,Utility,Black,242.34
63,Moncler,Shoes,W,Fall/Winter,Slip,Green,386.18
64,Rick Owens,Tops,W,Pre-Fall,Oversized,Beige,581.12
65,UGG,Outerwear,W,Spring/Summer,Minimal,Pink,270.2
66,Off-White,Bags,M,Resort,Cropped,White,775.72
67,Saint Laurent,Bags,W,Fall/Winter,Wide-Leg,Metallic,437.79
68,Loewe,Shoes,U,Resort,Slip,Navy,356.95
69,Kenzo,Dresses,W,Spring/Summer,Slim,Pink,632.27
70,Marni,Shoes,U,Fall/Winter,Maxi,Gray,512.94
71,Totême,Shoes,U,Spring/Summer,Wide-Leg,Beige,191.45
72,Loewe,Dresses,M,Collab,Tailored,Black,734.3
73,Khaite,Shoes,U,Pre-Fall,Tailored,Navy,314.64
74,Stone Island,Tops,W,Collab,Cropped,Denim Blue,819.54
75,Givenchy,Dresses,W,Pre-Fall,Oversized,Beige,582.79
76,Off-White,Shoes,M,Spring/Summer,Utility,White,710.34
77,VETEMENTS,Dresses,M,Capsule,Maxi,Green,624.82
78,Kiko Kostadinov,Tops,U,Fall/Winter,A-Line,White,335.17
79,Dries Van Noten,Outerwear,M,Capsule,Micro,Denim Blue,252.07
80,Gucci,Shoes,U,Fall/Winter,Oversized,Gray,527.3
81,Fendi,Outerwear,W,Resort,Micro,Navy,655.16
82,Issey Miyake,Bags,W,Spring/Summer,Slip,Gray,35.0
83,Kenzo,Tops,M,Capsule,Maxi,Navy,803.46
84,Totême,Bags,U,Pre-Fall,Sport,Green,35.0
85,Loewe,Bottoms,W,Pre-Fall,Slim,Brown,291.02
86,Givenchy,Accessories,W,Spring/Summer,Boxy,Navy,855.04
87,Diesel,Tops,M,Fall/Winter,Wide-Leg,Pink,495.73
88,Fear of God,Outerwear,W,Fall/Winter,Minimal,Navy,372.58
89,Ganni,Shoes,W,Spring/Summer,Straight,Black,511.14
90,Palm Angels,Bags,M,Collab,Slim,Beige,922.38
91,Acne Studios,Bottoms,W,Capsule,Wide-Leg,Gray,396.53
92,Off-White,Tops,M,Collab,Utility,Green,512.35
93,Burberry,Shoes,M,Spring/Summer,Tailored,Green,424.56
94,Balenciaga,Tops,W,Spring/Summer,Micro,Gray,775.35
95,Off-White,Tops,M,Fall/Winter,Utility,Green,528.7
96,Versace,Dresses,W,Capsule,Oversized,Gray,314.24
97,Khaite,Tops,W,Spring/Summer,Tailored,Green,52.81
98,Givenchy,Outerwear,W,Capsule,Micro,Brown,878.02
99,VETEMENTS,Accessories,M,Spring/Summer,Cropped,Beige,337.97
100,Totême,Outerwear,W,Resort,Tailored,Green,613.7
101,Marni,Accessories,W,Capsule,Cropped,Black,308.86
102,Stone Island,Bags,W,Pre-Fall,Wide-Leg,Navy,322.72
103,Palm Angels,Bottoms,U,Capsule,Tailored,Red,435.26
104,Alexander McQueen,Bags,W,Spring/Summer,Straight,Black,437.44
105,Saint Laurent,Outerwear,W,Fall/Winter,Slim,Navy,234.71
106,Jacquemus,Dresses,W,Capsule,Tailored,Beige,656.19
107,Dries Van Noten,Bottoms,U,Pre-Fall,A-Line,Brown,578.91
108,Moncler,Tops,M,Collab,Tailored,Black,303.54
109,Alexander McQueen,Accessories,U,Fall/Winter,Maxi,Navy,281.98
110,AMI,Outerwear,W,Resort,Oversized,White,446.71
111,Maison Margiela,Bags,M,Fall/Winter,Utility,Denim Blue,289.95
112,Gucci,Outerwear,M,Pre-Fall,Slim,Red,309.33
113,Moncler,Shoes,U,Spring/Summer,Minimal,Gray,278.39
114,Kiko Kostadinov,Tops,W,Fall/Winter,Platform,Navy,35.0
115,The Row,Dresses,W,Spring/Summer,Wide-Leg,Denim Blue,67.75
